Sample Size,Mean Estimate,Lower Bound,Upper Bound
87.0,1.0008593048519834,0.9957787963130712,1.0059398133908954
88.0,0.9997597873133315,0.9946792787744193,1.0048402958522435
89.0,0.9987510066566796,0.9936704981177674,1.0038315151955917
90.0,0.9997574434839855,0.9946769349450734,1.0048379520228976
91.0,1.0017845181211293,0.9967040095822172,1.0068650266600414
92.0,1.0033398598676277,0.9982593513287156,1.0084203684065398
93.0,1.0063868111921954,1.0013063026532834,1.0114673197311075
94.0,1.0059767814225398,1.0008962728836277,1.0110572899614518
95.0,1.0059274563400007,1.0008469478010886,1.0110079648789128
96.0,1.0044387914908772,0.999358282951965,1.0095193000297893
97.0,1.0065346081352033,1.0014540995962913,1.0116151166741154
98.0,1.006211742240559,1.001131233701647,1.011292250779471
99.0,1.0078858795570051,1.002805371018093,1.0129663880959172
100.0,1.0071090419515267,1.0020285334126147,1.0121895504904388
101.0,1.006512543992775,1.0014320354538628,1.011593052531687
102.0,1.0069364709594033,1.0018559624204912,1.0120169794983154
103.0,1.0081560809409917,1.0030755724020797,1.0132365894799038
104.0,1.0096491744225584,1.0045686658836464,1.0147296829614705
105.0,1.0088687802297323,1.0037882716908202,1.0139492887686443
106.0,1.0092084148623792,1.0041279063234672,1.0142889234012913
107.0,1.0080698940001844,1.0029893854612724,1.0131504025390965
108.0,1.0080767163981559,1.0029962078592438,1.013157224937068
109.0,1.0078825511328975,1.0028020425939854,1.0129630596718096
110.0,1.007186479213773,1.002105970674861,1.012266987752685
111.0,1.0078679468535072,1.0027874383145952,1.0129484553924193
112.0,1.0090818895992724,1.0040013810603603,1.0141623981381844
113.0,1.010244210773488,1.0051637022345759,1.0153247193124
114.0,1.010094781360376,1.005014272821464,1.015175289899288
115.0,1.0083253306564444,1.0032448221175323,1.0134058391953564
116.0,1.007615973603768,1.002535465064856,1.01269648214268
117.0,1.0079076964996676,1.0028271879607555,1.0129882050385797
118.0,1.006569167393189,1.0014886588542768,1.011649675932101
119.0,1.0060435676598283,1.0009630591209162,1.0111240761987403
120.0,1.006245697817744,1.001165189278832,1.0113262063566562
121.0,1.0048693088739467,0.9997888003350345,1.0099498174128587
122.0,1.0046238702022137,0.9995433616633015,1.0097043787411257
123.0,1.0062515943381416,1.0011710857992295,1.0113321028770537
124.0,1.00626501867778,1.001184510138868,1.011345527216692
125.0,1.006585913128371,1.001505404589459,1.011666421667283
126.0,1.0058207332804483,1.0007402247415362,1.0109012418193604
127.0,1.006170003609636,1.0010894950707239,1.011250512148548
128.0,1.0060016356904704,1.0009211271515583,1.0110821442293825
129.0,1.005115106810836,1.0000345982719239,1.010195615349748
130.0,1.005006432582883,0.9999259240439707,1.010086941121795
131.0,1.005099497449105,1.000018988910193,1.010180005988017
132.0,1.0040704124546844,0.9989899039157722,1.0091509209935965
133.0,1.003467246503562,0.9983867379646497,1.008547755042474
134.0,1.0026341829774446,0.9975536744385324,1.0077146915163566
135.0,1.0022640365318576,0.9971835279929454,1.0073445450707696
136.0,1.00069115734871,0.9956106488097979,1.0057716658876221
137.0,1.0013639737789073,0.9962834652399951,1.0064444823178194
138.0,0.9998070988857465,0.9947265903468343,1.0048876074246587
139.0,0.9990706375136817,0.9939901289747696,1.0041511460525938
140.0,0.9985770298420624,0.9934965213031502,1.0036575383809745
141.0,0.9985171804098946,0.9934366718709824,1.0035976889488067
142.0,0.999478360519209,0.9943978519802968,1.004558869058121
143.0,0.9994959234406566,0.9944154149017445,1.0045764319795687
144.0,1.000160915459198,0.9950804069202858,1.00524142399811
145.0,1.0000123150554454,0.9949318065165332,1.0050928235943575
146.0,0.9995174260803741,0.9944369175414619,1.0045979346192861
147.0,0.9985798232709668,0.9934993147320547,1.003660331809879
148.0,0.9990305001143193,0.9939499915754071,1.0041110086532314
149.0,0.9998342184310252,0.994753709892113,1.0049147269699372
150.0,0.9997490453344337,0.9946685367955215,1.0048295538733458
151.0,0.9987863021182869,0.9937057935793747,1.003866810657199
152.0,0.9988954801998852,0.993814971660973,1.0039759887387973
153.0,0.9986087895783156,0.9935282810394034,1.0036892981172276
154.0,0.9985564839184561,0.9934759753795439,1.0036369924573683
155.0,0.9989809802819762,0.9939004717430641,1.0040614888208883
156.0,1.00084616453345,0.9957656559945379,1.0059266730723622
157.0,1.0005396691492356,0.9954591606103235,1.0056201776881477
158.0,1.001337660231394,0.9962571516924817,1.006418168770306
159.0,1.0021210044651263,0.9970404959262141,1.0072015130040384
160.0,1.0017690251775666,0.9966885166386544,1.0068495337164787
161.0,1.0025535764470552,0.997473067908143,1.0076340849859673
162.0,1.002782038434263,0.9977015298953508,1.007862546973175
163.0,1.001993143282301,0.9969126347433889,1.0070736518212131
164.0,1.0030895100432757,0.9980090015043636,1.0081700185821878
165.0,1.0027108602152377,0.9976303516763255,1.0077913687541498
166.0,1.0023938652443245,0.9973133567054123,1.0074743737832366
167.0,1.001606287900482,0.9965257793615697,1.006686796439394
168.0,1.0011017840794436,0.9960212755405314,1.0061822926183557
169.0,1.0005555093720353,0.9954750008331231,1.0056360179109474
170.0,1.000997094942442,0.9959165864035299,1.006077603481354
171.0,1.0002853116589387,0.9952048031200266,1.0053658201978508
172.0,0.9997937485955344,0.9947132400566222,1.0048742571344464
