"outer iteration","expectation estimate","lower bound","upper bound"
6.2000000000000000e+01,1.0459845997988748e+00,9.8509006727999460e-01,1.1008190248885261e+00
6.3000000000000000e+01,1.0429545460842604e+00,9.8400207385811012e-01,1.0981560416377754e+00
6.4000000000000000e+01,1.0410790577479427e+00,9.8628192423792183e-01,1.0988259880701510e+00
6.5000000000000000e+01,1.0425539561540365e+00,9.8318753857963037e-01,1.0948712135835195e+00
6.6000000000000000e+01,1.0390293760815750e+00,9.8328084949995009e-01,1.0933334792157012e+00
6.7000000000000000e+01,1.0383071643578257e+00,9.8374823980696990e-01,1.0921904160109304e+00
6.8000000000000000e+01,1.0379693279089501e+00,9.8386453576083566e-01,1.0907654173358043e+00
6.9000000000000000e+01,1.0373149765483201e+00,9.8025873178720624e-01,1.0866878599762215e+00
7.0000000000000000e+01,1.0334732958817139e+00,9.7730838272607234e-01,1.0830248715475252e+00
7.1000000000000000e+01,1.0301666271367989e+00,9.8036673461609913e-01,1.0850909595904126e+00
7.2000000000000000e+01,1.0327288471032559e+00,9.7621939383887579e-01,1.0808052424045884e+00
7.3000000000000000e+01,1.0285123181217322e+00,9.7154873061357794e-01,1.0762670815916544e+00
7.4000000000000000e+01,1.0239079061026162e+00,9.7139519448059441e-01,1.0747674181895257e+00
7.5000000000000000e+01,1.0230813063350601e+00,9.7612857199491287e-01,1.0799524034219798e+00
7.6000000000000000e+01,1.0280404877084464e+00,9.7453864322103534e-01,1.0773402551133682e+00
7.7000000000000000e+01,1.0259394491672018e+00,9.7860301514426762e-01,1.0812752836442596e+00
7.8000000000000000e+01,1.0299391493942636e+00,9.7808892052703822e-01,1.0795549009496819e+00
7.9000000000000000e+01,1.0288219107383600e+00,9.8177474082192639e-01,1.0829052147607652e+00
8.0000000000000000e+01,1.0323399777913458e+00,9.7879575230697591e-01,1.0794587776501985e+00
8.1000000000000000e+01,1.0291272649785872e+00,9.7580721272526616e-01,1.0760262541882761e+00
8.2000000000000000e+01,1.0259167334567711e+00,9.7625770394293332e-01,1.0752710663672245e+00
8.3000000000000000e+01,1.0257643851550788e+00,9.7939863232966928e-01,1.0778703849565940e+00
8.4000000000000000e+01,1.0286345086431317e+00,9.7755760873908615e-01,1.0752571062785796e+00
8.5000000000000000e+01,1.0264073575088328e+00,9.7876133980108104e-01,1.0753582659940588e+00
8.6000000000000000e+01,1.0270598028975699e+00,9.7907448651291040e-01,1.0745656737858142e+00
8.7000000000000000e+01,1.0268200801493623e+00,9.7556762305598799e-01,1.0709801130624133e+00
8.8000000000000000e+01,1.0232738680592006e+00,9.7852007860512236e-01,1.0734507083120668e+00
8.9000000000000000e+01,1.0259853934585945e+00,9.7828231272144095e-01,1.0722028054992965e+00
9.0000000000000000e+01,1.0252425591103687e+00,9.7866775366399428e-01,1.0715575337653556e+00
9.1000000000000000e+01,1.0251126437146749e+00,9.7642976478734334e-01,1.0688202857039324e+00
9.2000000000000000e+01,1.0226250252456379e+00,9.7992799628422100e-01,1.0723446416893241e+00
9.3000000000000000e+01,1.0261363189867725e+00,9.7764798344403991e-01,1.0696038895053841e+00
9.4000000000000000e+01,1.0236259364747120e+00,9.7882131196331912e-01,1.0698514198815299e+00
9.5000000000000000e+01,1.0243363659224245e+00,9.7759263362674731e-01,1.0678891044989733e+00
9.6000000000000000e+01,1.0227408690628603e+00,9.7553067062025256e-01,1.0653461771002093e+00
9.7000000000000000e+01,1.0204384238602309e+00,9.7321368471909286e-01,1.0626487982814563e+00
9.8000000000000000e+01,1.0179312415002746e+00,9.7688947875744614e-01,1.0666915650208755e+00
9.9000000000000000e+01,1.0217905218891608e+00,9.7508929560432089e-01,1.0643580819170080e+00
1.0000000000000000e+02,1.0197236887606644e+00,9.7177515703831252e-01,1.0610879959258603e+00
1.0100000000000000e+02,1.0164315764820864e+00,9.7070818206783316e-01,1.0593182869413484e+00
1.0200000000000000e+02,1.0150132345045908e+00,9.7165090268220278e-01,1.0594245644494966e+00
1.0300000000000000e+02,1.0155377335658498e+00,9.7485733135654151e-01,1.0627022229637457e+00
1.0400000000000000e+02,1.0187797771601437e+00,9.7578807467161921e-01,1.0628204016389362e+00
1.0500000000000000e+02,1.0193042381552777e+00,9.7415402537890827e-01,1.0606792531065175e+00
1.0600000000000000e+02,1.0174166392427129e+00,9.7437305695485299e-01,1.0600926370649939e+00
1.0700000000000000e+02,1.0172328470099234e+00,9.7198710360469842e-01,1.0574726498333327e+00
1.0800000000000000e+02,1.0147298767190156e+00,9.6945035719874795e-01,1.0547669127943997e+00
1.0900000000000000e+02,1.0121086349965738e+00,9.6687252768116494e-01,1.0520437540813599e+00
1.1000000000000000e+02,1.0094581408812624e+00,9.6570687030417213e-01,1.0503012938028369e+00
1.1100000000000000e+02,1.0080040820535046e+00,9.6418378323092435e-01,1.0483038409201635e+00
1.1200000000000000e+02,1.0062438120755439e+00,9.6735389702864971e-01,1.0517117427194247e+00
1.1300000000000000e+02,1.0095328198740372e+00,9.6803976637686451e-01,1.0516669890992507e+00
1.1400000000000000e+02,1.0098533777380576e+00,9.6725309189932251e-01,1.0502632458987693e+00
1.1500000000000000e+02,1.0087581688990459e+00,9.6459929490431084e-01,1.0475561579593466e+00
1.1600000000000000e+02,1.0060777264318288e+00,9.6299197172968753e-01,1.0455427732089788e+00
1.1700000000000000e+02,1.0042673724693332e+00,9.6604866722030280e-01,1.0488313953283157e+00
1.1800000000000000e+02,1.0074400312743093e+00,9.6801100624970138e-01,1.0503842863775144e+00
1.1900000000000000e+02,1.0091976463136079e+00,9.6696548177993780e-01,1.0488119593592424e+00
1.2000000000000000e+02,1.0078887205695901e+00,9.6918425874269232e-01,1.0507609342232567e+00
1.2100000000000000e+02,1.0099725964829744e+00,9.6679229318173954e-01,1.0482616582693227e+00
1.2200000000000000e+02,1.0075269757255312e+00,9.6411444280688174e-01,1.0455926756619811e+00
1.2300000000000000e+02,1.0048535592344314e+00,9.6383744715322195e-01,1.0446913228253671e+00
1.2400000000000000e+02,1.0042643849892945e+00,9.6184266304333310e-01,1.0424707257511492e+00
1.2500000000000000e+02,1.0021566943972411e+00,9.6278092911158286e-01,1.0428078251789070e+00
1.2600000000000000e+02,1.0027943771452450e+00,9.6555093489952937e-01,1.0457184638696750e+00
1.2700000000000000e+02,1.0056346993846021e+00,9.6433733906743913e-01,1.0440740244654780e+00
1.2800000000000000e+02,1.0042056817664586e+00,9.6315032835103698e-01,1.0424579443118385e+00
1.2900000000000000e+02,1.0028041363314377e+00,9.6145907211629877e-01,1.0404817114670504e+00
1.3000000000000000e+02,1.0009703917916746e+00,9.6424779076493339e-01,1.0434758696172488e+00
1.3100000000000000e+02,1.0038618301910911e+00,9.6711466323127937e-01,1.0466110906328561e+00
1.3200000000000000e+02,1.0068628769320678e+00,9.6585807527487288e-01,1.0449606969509437e+00
1.3300000000000000e+02,1.0054093861129083e+00,9.6506194497224995e-01,1.0436790097729005e+00
1.3400000000000000e+02,1.0043704773725752e+00,9.6539481022729356e-01,1.0434296969558452e+00
1.3500000000000000e+02,1.0044122535915694e+00,9.6643473367258304e-01,1.0439562059024865e+00
1.3600000000000000e+02,1.0051954697875347e+00,9.6509074656271165e-01,1.0422730749661224e+00
1.3700000000000000e+02,1.0036819107644170e+00,9.6382075265665146e-01,1.0406515698834702e+00
1.3800000000000000e+02,1.0022361612700608e+00,9.6655029011966842e-01,1.0436419469331146e+00
1.3900000000000000e+02,1.0050961185263916e+00,9.6561041356950883e-01,1.0422829708842307e+00
1.4000000000000000e+02,1.0039466922268698e+00,9.6616441366503514e-01,1.0423014022120687e+00
1.4100000000000000e+02,1.0042329079385519e+00,9.6575084402194755e-01,1.0413955606585243e+00
1.4200000000000000e+02,1.0035732023402359e+00,9.6641752722521679e-01,1.0415503943127666e+00
1.4300000000000000e+02,1.0039839607689918e+00,9.6472976858273896e-01,1.0396663206189518e+00
1.4400000000000000e+02,1.0021980446008454e+00,9.6281407489803461e-01,1.0376325587504791e+00
1.4500000000000000e+02,1.0002233168242569e+00,9.6098759476043683e-01,1.0356626952473873e+00
1.4600000000000000e+02,9.9832514500391201e-01,9.6008857316262231e-01,1.0343782094006966e+00
1.4700000000000000e+02,9.9723339128165944e-01,9.5875563010381626e-01,1.0327670682854992e+00
1.4800000000000000e+02,9.9576134919465775e-01,9.5688407732594849e-01,1.0307834853165294e+00
1.4900000000000000e+02,9.9383378132123901e-01,9.5506245590175054e-01,1.0288372649816495e+00
1.5000000000000000e+02,9.9194986044169997e-01,9.5286925212048834e-01,1.0266527464234887e+00
1.5100000000000000e+02,9.8976099927198846e-01,9.5118871879051436e-01,1.0248093522830748e+00
1.5200000000000000e+02,9.8799903553679458e-01,9.5226623174261893e-01,1.0254859122208142e+00
1.5300000000000000e+02,9.8887607198171656e-01,9.5397364730840861e-01,1.0269875111253208e+00
1.5400000000000000e+02,9.9048057921686472e-01,9.5206538352440839e-01,1.0250052760342214e+00
1.5500000000000000e+02,9.8853532977931491e-01,9.5277193072606892e-01,1.0252690486869500e+00
1.5600000000000000e+02,9.8902048970650946e-01,9.5227548046565402e-01,1.0243629330162829e+00
1.5700000000000000e+02,9.8831920674096851e-01,9.5162849419821594e-01,1.0233344538786739e+00
1.5800000000000000e+02,9.8748147403844488e-01,9.5278922063337335e-01,1.0241485914577548e+00
1.5900000000000000e+02,9.8846890604556414e-01,9.5102776516722531e-01,1.0222925111697496e+00
1.6000000000000000e+02,9.8666013816848752e-01,9.5084351052857219e-01,1.0216826143302216e+00
1.6100000000000000e+02,9.8626306242939688e-01,9.4990663568995148e-01,1.0204374415374222e+00
1.6200000000000000e+02,9.8517203861368685e-01,9.5093845629059781e-01,1.0211161967254858e+00
1.6300000000000000e+02,9.8602732650804181e-01,9.4949396461943714e-01,1.0194997556236283e+00
1.6400000000000000e+02,9.8449686012153270e-01,9.5130125197983262e-01,1.0212241377761488e+00
1.6500000000000000e+02,9.8626269487799068e-01,9.5123181653601707e-01,1.0207418414835236e+00
1.6600000000000000e+02,9.8598682900977030e-01,9.4957715362693940e-01,1.0189907278675607e+00
1.6700000000000000e+02,9.8428394074725001e-01,9.4846566868687920e-01,1.0176343820222316e+00
1.6800000000000000e+02,9.8305002535455532e-01,9.4684903776317597e-01,1.0159165327820048e+00
1.6900000000000000e+02,9.8138278527259037e-01,9.4765417831457088e-01,1.0163586415796886e+00
1.7000000000000000e+02,9.8200640994712973e-01,9.4925245238346134e-01,1.0178155952245747e+00
1.7100000000000000e+02,9.8353402380401800e-01,9.4991607230522457e-01,1.0181060895721643e+00
1.7200000000000000e+02,9.8401108093869449e-01,9.5218447262648942e-01,1.0206220413671545e+00
1.7300000000000000e+02,9.8640325699682196e-01,9.5057705631263678e-01,1.0189267536668514e+00
1.7400000000000000e+02,9.8475190498974408e-01,9.5086794396500629e-01,1.0188281101825118e+00
1.7500000000000000e+02,9.8484802707375907e-01,9.5176385680117725e-01,1.0193986353943059e+00
1.7600000000000000e+02,9.8558124609774156e-01,9.5080409183484138e-01,1.0181901331997489e+00
1.7700000000000000e+02,9.8449711251729521e-01,9.5039360421429531e-01,1.0174394902368167e+00
1.7800000000000000e+02,9.8391654722555599e-01,9.5104281308423666e-01,1.0177399741656643e+00
1.7900000000000000e+02,9.8439139362495054e-01,9.5017572695182062e-01,1.0166163712702465e+00
1.8000000000000000e+02,9.8339604911103351e-01,9.4969937752605116e-01,1.0158197737579100e+00
1.8100000000000000e+02,9.8275957564198058e-01,9.5093357225597508e-01,1.0168378641357476e+00
1.8200000000000000e+02,9.8388571819586135e-01,9.5308683162221774e-01,1.0192305257353851e+00
1.8300000000000000e+02,9.8615867867880136e-01,9.5522321613621541e-01,1.0215924164531391e+00
1.8400000000000000e+02,9.8840781629467733e-01,9.5388366361893318e-01,1.0201221944822045e+00
1.8500000000000000e+02,9.8700292905056886e-01,9.5239848363424906e-01,1.0185511815543611e+00
1.8600000000000000e+02,9.8547483259430513e-01,9.5344249893596267e-01,1.0193387724812659e+00
1.8700000000000000e+02,9.8639063570861429e-01,9.5553684592200427e-01,1.0216445251153454e+00
1.8800000000000000e+02,9.8859068551867491e-01,9.5457801260648167e-01,1.0204682351055072e+00
1.8900000000000000e+02,9.8752312385599439e-01,9.5619542682759662e-01,1.0220334686268526e+00
1.9000000000000000e+02,9.8911444772722468e-01,9.5817453216113613e-01,1.0241571093891215e+00
1.9100000000000000e+02,9.9116582077512883e-01,9.5764362974395512e-01,1.0233357559291942e+00
1.9200000000000000e+02,9.9048969283657462e-01,9.5878580109737854e-01,1.0242625979502062e+00
1.9300000000000000e+02,9.9152419952379245e-01,9.5769804122963098e-01,1.0229992764349278e+00
1.9400000000000000e+02,9.9034865883227940e-01,9.5742513395193118e-01,1.0224131906219287e+00
1.9500000000000000e+02,9.8991916228692989e-01,9.5899510431442203e-01,1.0239331604139659e+00
1.9600000000000000e+02,9.9146413236419395e-01,9.5769131579335576e-01,1.0225180242626881e+00
1.9700000000000000e+02,9.9010467002802194e-01,9.5692608059141471e-01,1.0215176763872962e+00
1.9800000000000000e+02,9.8922187848935550e-01,9.5634129736761719e-01,1.0206693557610664e+00
1.9900000000000000e+02,9.8850532656434187e-01,9.5515782357419632e-01,1.0193508759996692e+00
2.0000000000000000e+02,9.8725434978693272e-01,9.5482596003910902e-01,1.0187269709688420e+00
2.0100000000000000e+02,9.8677646550397546e-01,9.5555991058297807e-01,1.0191874477057556e+00
2.0200000000000000e+02,9.8737367914436680e-01,9.5706479630018104e-01,1.0206428931897140e+00
